id,ingredient_name,energy,carb,protein,fat,sugar,water,fiber,cost_per_gram,supplier_name
ing_001,Organic Garlic,149.2,33.1,6.4,0.5,1.0,58.6,2.1,0.0321,Pure Provisions
ing_002,Free-range Chicken,165.3,0.0,31.0,3.6,0.0,65.0,0.0,0.0259,FarmFresh Foods
ing_003,Heirloom Tomato,18.5,3.9,0.9,0.2,2.6,94.5,1.2,0.0089,Nature's Harvest
ing_004,Whole Wheat Flour,340.0,72.0,13.2,2.5,0.4,10.3,10.7,0.0032,Wholesome Wholesalers
ing_005,Extra Virgin Olive Oil,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0198,Global Gourmet
ing_006,Organic Spinach,23.0,3.6,2.9,0.4,0.4,91.4,2.2,0.0076,FarmFresh Foods
ing_007,Wild Rice,357.0,74.9,14.7,1.1,0.7,9.3,6.2,0.0129,Nature's Harvest
ing_008,Fresh Ginger Root,80.0,17.8,1.8,0.8,1.7,79.0,2.0,0.0115,Sustainable Supplies
ing_009,Grass-fed Beef,250.0,0.0,26.0,17.0,0.0,56.0,0.0,0.0359,Quality Quotient
ing_010,Raw Honey,304.0,82.4,0.3,0.0,82.1,17.0,0.2,0.0287,Organic Oasis
ing_011,Black Pepper Powder,251.0,64.8,10.4,3.3,0.6,10.5,25.3,0.0492,Culinary Creations
ing_012,Low-fat Yogurt,63.0,7.0,5.3,1.6,7.0,85.1,0.0,0.0065,Delicious Distributors
ing_013,Fresh Lemon Juice,22.0,6.9,0.4,0.2,2.5,92.0,0.3,0.0188,Pure Provisions
ing_014,Raw Almonds,579.0,21.6,21.2,49.9,4.4,4.7,12.5,0.0396,Optimal Offerings
ing_015,Sea Salt,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0021,Global Gourmet
ing_016,Organic Quinoa,368.0,64.2,14.1,6.1,1.6,13.3,7.0,0.0185,Wholesome Wholesalers
ing_017,Pasteurized Eggs,143.0,0.7,12.6,9.5,0.4,76.1,0.0,0.0218,FarmFresh Foods
ing_018,Red Bell Pepper,31.0,6.0,1.0,0.3,4.2,92.2,2.1,0.0083,Nature's Harvest
ing_019,Frozen Blueberries,57.0,14.5,0.7,0.3,10.0,84.2,2.4,0.0165,Fresh Finds
ing_020,Greek Yogurt,73.0,3.9,10.2,1.9,3.9,82.6,0.0,0.0105,Delicious Distributors
ing_021,Brown Rice,362.0,76.2,7.5,2.7,0.5,11.6,3.5,0.0057,Sustainable Supplies
ing_022,Sweet Potato,86.0,20.1,1.6,0.1,4.2,77.3,3.0,0.0042,FarmFresh Foods
ing_023,Organic Kale,49.0,8.8,4.3,0.9,2.3,84.5,3.6,0.0128,Nature's Harvest
ing_024,Maple Syrup,260.0,67.2,0.0,0.1,60.5,32.5,0.0,0.0326,Pure Provisions
ing_025,White Onion,40.0,9.3,1.1,0.1,4.2,89.1,1.7,0.0033,Quality Quotient
ing_026,Canned Tuna,116.0,0.0,25.5,1.0,0.0,73.3,0.0,0.0224,Optimal Offerings
ing_027,Dried Basil,233.0,47.8,14.4,4.1,1.7,9.0,37.7,0.0375,Culinary Creations
ing_028,Coconut Milk,230.0,5.5,2.3,23.8,5.5,67.6,2.2,0.0136,Global Gourmet
ing_029,Ground Cinnamon,247.0,80.6,4.0,1.2,2.2,10.6,53.1,0.0248,Spice Specialists
ing_030,Wild Salmon,208.0,0.0,20.4,13.4,0.0,64.9,0.0,0.0417,Pure Provisions
ing_031,Red Lentils,352.0,63.4,24.6,1.1,1.8,8.3,10.7,0.0088,Sustainable Supplies
ing_032,Sesame Seeds,573.0,23.5,17.7,49.7,0.3,5.0,11.8,0.0215,Wholesome Wholesalers
ing_033,Avocado,160.0,8.5,2.0,14.7,0.7,73.2,6.7,0.0192,FarmFresh Foods
ing_034,Balsamic Vinegar,88.0,17.0,0.5,0.0,14.0,82.0,0.0,0.0166,Global Gourmet
ing_035,Plain Tofu,76.0,1.9,8.0,4.2,0.5,84.6,0.3,0.0074,Organic Oasis
ing_036,Roasted Peanuts,587.0,16.1,25.8,49.2,4.7,1.8,8.5,0.0132,Quality Quotient
ing_037,Vanilla Extract,288.0,12.7,0.1,0.1,12.7,52.7,0.0,0.0723,Culinary Creations
ing_038,Green Tea Leaves,1.0,0.2,0.2,0.0,0.0,99.5,0.0,0.0356,Pure Provisions
ing_039,Smoked Paprika,282.0,54.0,14.1,13.0,9.0,8.0,35.0,0.0296,Spice Specialists
ing_040,Chia Seeds,486.0,42.1,16.5,30.7,0.0,5.8,34.4,0.0337,Optimal Offerings
ing_041,Feta Cheese,264.0,4.1,14.2,21.3,4.1,55.2,0.0,0.0289,Delicious Distributors
ing_042,Brown Sugar,380.0,98.1,0.1,0.0,97.0,1.3,0.0,0.0078,Wholesome Wholesalers
ing_043,Dried Cranberries,308.0,82.8,0.2,1.4,72.0,13.0,5.3,0.0198,Fresh Finds
ing_044,Dijon Mustard,66.0,6.6,4.2,3.9,1.8,84.3,2.1,0.0145,Global Gourmet
ing_045,Shredded Coconut,354.0,15.2,3.3,33.5,6.2,4.4,9.0,0.0207,Tropical Traders
ing_046,Nutritional Yeast,281.0,33.6,47.2,4.1,3.6,3.0,24.1,0.0386,Vegan Vitals
ing_047,Rolled Oats,389.0,66.3,16.9,6.9,0.0,8.2,10.6,0.0043,Nature's Harvest
ing_048,Pearl Barley,352.0,73.5,12.5,2.3,0.8,10.0,17.3,0.0061,Sustainable Supplies
ing_049,Frozen Peas,81.0,14.5,5.4,0.4,5.7,79.0,5.1,0.0072,Fresh Finds
ing_050,Canned Chickpeas,139.0,27.0,7.3,2.1,4.8,61.0,8.0,0.0065,Pantry Provisions
ing_051,Whole Milk,61.0,4.8,3.3,3.3,5.1,88.1,0.0,0.0046,FarmFresh Foods
ing_052,Miso Paste,198.0,26.5,11.8,6.0,6.2,48.0,5.4,0.0265,Global Gourmet
ing_053,Dried Oregano,265.0,68.9,9.0,4.3,4.0,7.2,42.5,0.0312,Spice Specialists
ing_054,Red Wine,85.0,2.6,0.1,0.0,0.6,87.7,0.0,0.0135,Vineyard Values
ing_055,Black Beans,341.0,62.4,21.6,1.4,2.1,11.0,15.5,0.0077,Pantry Provisions
ing_056,Pine Nuts,673.0,13.1,13.7,68.4,3.9,2.3,3.7,0.0652,Optimal Offerings
ing_057,Fresh Rosemary,131.0,20.7,3.3,5.9,0.0,67.8,14.1,0.0387,Herb Haven
ing_058,Tahini,595.0,21.2,17.0,53.8,0.7,3.0,9.3,0.0237,Global Gourmet
ing_059,Curry Powder,325.0,58.0,14.3,14.0,3.2,9.5,53.2,0.0318,Spice Specialists
ing_060,Flax Seeds,534.0,28.9,18.3,42.2,1.6,6.9,27.3,0.0243,Nutritional Necessities
ing_061,Cottage Cheese,98.0,3.4,11.1,4.3,3.1,80.0,0.0,0.0098,Delicious Distributors
ing_062,Agave Nectar,310.0,76.4,0.1,0.1,68.0,22.9,0.2,0.0352,Sweet Solutions
ing_063,Dried Thyme,276.0,64.0,9.1,7.4,1.7,7.8,37.0,0.0396,Herb Haven
ing_064,Cumin Seeds,375.0,44.2,17.8,22.3,2.3,8.1,10.5,0.0279,Spice Specialists
ing_065,Red Kidney Beans,337.0,61.3,22.5,1.1,2.0,11.8,15.2,0.0081,Pantry Provisions
