recipe_id,recipe_name,ingredient_id,ingredient_name,quantity_in_grams,recipe_type,cuisine
1,Hearty Vegetable Soup,3,Heirloom Tomato,250,Soup,Italian
1,Hearty Vegetable Soup,6,Organic Spinach,100,Soup,Italian
1,Hearty Vegetable Soup,18,Red Bell Pepper,120,Soup,Italian
1,Hearty Vegetable Soup,25,White Onion,150,Soup,Italian
1,Hearty Vegetable Soup,1,Organic Garlic,15,Soup,Italian
1,Hearty Vegetable Soup,8,Fresh Ginger Root,10,Soup,Italian
1,Hearty Vegetable Soup,5,Extra Virgin Olive Oil,20,Soup,Italian
1,Hearty Vegetable Soup,15,Sea Salt,5,Soup,Italian
1,Hearty Vegetable Soup,11,Black Pepper Powder,3,Soup,Italian
1,Hearty Vegetable Soup,27,Dried Basil,2,Soup,Italian
2,Grilled Lemon Chicken,2,Free-range Chicken,500,Main Course,Mediterranean
2,Grilled Lemon Chicken,13,Fresh Lemon Juice,45,Main Course,Mediterranean
2,Grilled Lemon Chicken,1,Organic Garlic,12,Main Course,Mediterranean
2,Grilled Lemon Chicken,5,Extra Virgin Olive Oil,30,Main Course,Mediterranean
2,Grilled Lemon Chicken,27,Dried Basil,5,Main Course,Mediterranean
2,Grilled Lemon Chicken,53,Dried Oregano,4,Main Course,Mediterranean
2,Grilled Lemon Chicken,15,Sea Salt,4,Main Course,Mediterranean
2,Grilled Lemon Chicken,11,Black Pepper Powder,2,Main Course,Mediterranean
3,Creamy Spinach Quinoa Bowl,16,Organic Quinoa,150,Bowl,Vegetarian
3,Creamy Spinach Quinoa Bowl,6,Organic Spinach,200,Bowl,Vegetarian
3,Creamy Spinach Quinoa Bowl,20,Greek Yogurt,100,Bowl,Vegetarian
3,Creamy Spinach Quinoa Bowl,41,Feta Cheese,50,Bowl,Vegetarian
3,Creamy Spinach Quinoa Bowl,1,Organic Garlic,8,Bowl,Vegetarian
3,Creamy Spinach Quinoa Bowl,5,Extra Virgin Olive Oil,15,Bowl,Vegetarian
